Region;year;date;id;Abandono
Comunitat Valenciana;2013.0;2019-11-04;Valencia2013.0;21.6822
Extremadura;2013.0;2019-11-04;Extremadura2013.0;29.224
Galicia;2013.0;2019-11-04;Galicia2013.0;20.2085
Madrid, Comunidad de;2013.0;2019-11-04;Madrid2013.0;19.7481
Murcia, Región de;2013.0;2019-11-04;Murcia2013.0;26.3439
Navarra, Comunidad Foral de (3);2013.0;2019-11-04;Navarra2013.0;12.8502
País Vasco;2013.0;2019-11-04;País Vasco2013.0;9.8834
Rioja, La (3);2013.0;2019-11-04;Rioja2013.0;21.6583
Ceuta (3);2013.0;2019-11-04;Ceuta2013.0;33.5
Melilla (3);2013.0;2019-11-04;Melilla2013.0;33.1
TOTAL;2014.0;2019-11-04;Nacional2014.0;21.9066
Andalucía;2014.0;2019-11-04;Andalucía2014.0;27.6616
Aragón;2014.0;2019-11-04;Aragón2014.0;18.431
Asturias, Principado de;2014.0;2019-11-04;Asturias2014.0;13.5599
Balears, Illes;2014.0;2019-11-04;Balears2014.0;32.0675
Canarias;2014.0;2019-11-04;Canarias2014.0;23.8096
Cantabria (3);2014.0;2019-11-04;Cantabria2014.0;9.6876
Castilla y León;2014.0;2019-11-04;Castilla y León2014.0;16.7729
Castilla-La Mancha;2014.0;2019-11-04;Castilla - La Mancha2014.0;22.2467
Cataluña;2014.0;2019-11-04;Cataluña2014.0;22.2103
Comunitat Valenciana;2014.0;2019-11-04;Valencia2014.0;23.375
Extremadura;2014.0;2019-11-04;Extremadura2014.0;22.934
Galicia;2014.0;2019-11-04;Galicia2014.0;18.5445
Madrid, Comunidad de;2014.0;2019-11-04;Madrid2014.0;18.3359
Murcia, Región de;2014.0;2019-11-04;Murcia2014.0;24.1296
Navarra, Comunidad Foral de (3);2014.0;2019-11-04;Navarra2014.0;11.7647
País Vasco;2014.0;2019-11-04;País Vasco2014.0;9.4151
Rioja, La (3);2014.0;2019-11-04;Rioja2014.0;21.1386
Ceuta (3);2014.0;2019-11-04;Ceuta2014.0;29.5
Melilla (3);2014.0;2019-11-04;Melilla2014.0;19.6
TOTAL;2015.0;2019-11-04;Nacional2015.0;19.965
Andalucía;2015.0;2019-11-04;Andalucía2015.0;24.9174
Aragón;2015.0;2019-11-04;Aragón2015.0;19.4566
Asturias, Principado de;2015.0;2019-11-04;Asturias2015.0;16.8164
Balears, Illes;2015.0;2019-11-04;Balears2015.0;26.7083
Canarias;2015.0;2019-11-04;Canarias2015.0;21.9316
Cantabria (3);2015.0;2019-11-04;Cantabria2015.0;10.2915
Castilla y León;2015.0;2019-11-04;Castilla y León2015.0;16.7156
Castilla-La Mancha;2015.0;2019-11-04;Castilla - La Mancha2015.0;20.8136
Cataluña;2015.0;2019-11-04;Cataluña2015.0;18.8502
