Region;year;date;id;TasaParo
País Vasco;2010;2019-10-28;País Vasco2010;30.63
Rioja;2010;2019-10-28;Rioja2010;38.19
Ceuta;2010;2019-10-28;Ceuta2010;62.13
Melilla;2010;2019-10-28;Melilla2010;52.01
Nacional;2009;2019-10-28;Nacional2009;37.73
Andalucía;2009;2019-10-28;Andalucía2009;45.04
Aragón;2009;2019-10-28;Aragón2009;31.72
Asturias;2009;2019-10-28;Asturias2009;35.05
Balears;2009;2019-10-28;Balears2009;32.1
Canarias;2009;2019-10-28;Canarias2009;47.77
Cantabria;2009;2019-10-28;Cantabria2009;29.99
Castilla y León;2009;2019-10-28;Castilla y León2009;32.04
Castilla - La Mancha;2009;2019-10-28;Castilla - La Mancha2009;36.26
Cataluña;2009;2019-10-28;Cataluña2009;36.91
Comunitat Valenciana;2009;2019-10-28;Valencia2009;39.46
Extremadura;2009;2019-10-28;Extremadura2009;41.4
Galicia;2009;2019-10-28;Galicia2009;30.36
Madrid;2009;2019-10-28;Madrid2009;34.19
Murcia;2009;2019-10-28;Murcia2009;33.73
Navarra;2009;2019-10-28;Navarra2009;30.62
País Vasco;2009;2019-10-28;País Vasco2009;31.58
Rioja;2009;2019-10-28;Rioja2009;33.09
Ceuta;2009;2019-10-28;Ceuta2009;35.72
Melilla;2009;2019-10-28;Melilla2009;38.34
Nacional;2008;2019-10-28;Nacional2008;24.45
Andalucía;2008;2019-10-28;Andalucía2008;31.11
Aragón;2008;2019-10-28;Aragón2008;19.83
Asturias;2008;2019-10-28;Asturias2008;21.62
Balears;2008;2019-10-28;Balears2008;24.35
Canarias;2008;2019-10-28;Canarias2008;31.89
Cantabria;2008;2019-10-28;Cantabria2008;19.18
Castilla y León;2008;2019-10-28;Castilla y León2008;22.48
Castilla - La Mancha;2008;2019-10-28;Castilla - La Mancha2008;22.89
Cataluña;2008;2019-10-28;Cataluña2008;20.13
Comunitat Valenciana;2008;2019-10-28;Valencia2008;26.16
Extremadura;2008;2019-10-28;Extremadura2008;28.95
