fila,subfila,columna,subcolumna,valor
"Murcia, Región de",,2003,IMPORT,"4951059,33"
"Navarra, Comunidad Foral de",,2003,IMPORT,"4138850,57"
País Vasco,,2003,IMPORT,"10491591,50"
"Rioja, La",,2003,IMPORT,"798826,92"
Ceuta,,2003,IMPORT,"178973,06"
Melilla,,2003,IMPORT,"162113,31"
No determinado,,2003,IMPORT,"845008,98"
Andalucía,,2004,EXPORT,"13141119,32"
Aragón,,2004,EXPORT,"7031490,21"
"Asturias, Principado de",,2004,EXPORT,"2302294,59"
"Balears, Illes",,2004,EXPORT,"1148512,79"
Canarias,,2004,EXPORT,"768314,32"
Cantabria,,2004,EXPORT,"1652521,68"
Castilla y León,,2004,EXPORT,"9212845,35"
Castilla-La Mancha,,2004,EXPORT,"2494512,87"
Cataluña,,2004,EXPORT,"39121069,06"
Comunitat Valenciana,,2004,EXPORT,"17281098,08"
Extremadura,,2004,EXPORT,"1078531,20"
Galicia,,2004,EXPORT,"10498731,87"
"Madrid, Comunidad de",,2004,EXPORT,"15400350,04"
"Murcia, Región de",,2004,EXPORT,"3872889,22"
"Navarra, Comunidad Foral de",,2004,EXPORT,"4915974,90"
País Vasco,,2004,EXPORT,"13265489,53"
"Rioja, La",,2004,EXPORT,"938777,74"
Ceuta,,2004,EXPORT,"84718,86"
Melilla,,2004,EXPORT,"2311,45"
No determinado,,2004,EXPORT,"2713169,39"
Andalucía,,2004,IMPORT,"14179727,82"
Aragón,,2004,IMPORT,"6575195,94"
"Asturias, Principado de",,2004,IMPORT,"2594130,05"
"Balears, Illes",,2004,IMPORT,"2058936,18"
Canarias,,2004,IMPORT,"3798107,88"
Cantabria,,2004,IMPORT,"1897975,13"
Castilla y León,,2004,IMPORT,"8955536,82"
Castilla-La Mancha,,2004,IMPORT,"5113374,40"
Cataluña,,2004,IMPORT,"60555785,81"
Comunitat Valenciana,,2004,IMPORT,"16787538,04"
Extremadura,,2004,IMPORT,"637606,21"
Galicia,,2004,IMPORT,"11006359,30"
"Madrid, Comunidad de",,2004,IMPORT,"48981310,64"
"Murcia, Región de",,2004,IMPORT,"6081257,85"
"Navarra, Comunidad Foral de",,2004,IMPORT,"4454419,34"
País Vasco,,2004,IMPORT,"12571051,03"
"Rioja, La",,2004,IMPORT,"755893,47"
Ceuta,,2004,IMPORT,"143614,92"
Melilla,,2004,IMPORT,"155653,15"
No determinado,,2004,IMPORT,"1107229,62"
Andalucía,,2005,EXPORT,"14196520,86"
Aragón,,2005,EXPORT,"7118301,63"
"Asturias, Principado de",,2005,EXPORT,"2425471,16"
"Balears, Illes",,2005,EXPORT,"1021019,12"
Canarias,,2005,EXPORT,"833701,06"
Cantabria,,2005,EXPORT,"1785313,97"
Castilla y León,,2005,EXPORT,"8949608,38"
Castilla-La Mancha,,2005,EXPORT,"2722649,08"
Cataluña,,2005,EXPORT,"42360915,71"
Comunitat Valenciana,,2005,EXPORT,"16956726,37"
Extremadura,,2005,EXPORT,"1013587,07"
Galicia,,2005,EXPORT,"12125213,56"
"Madrid, Comunidad de",,2005,EXPORT,"16874000,92"
"Murcia, Región de",,2005,EXPORT,"3974310,48"
"Navarra, Comunidad Foral de",,2005,EXPORT,"4887825,24"
País Vasco,,2005,EXPORT,"14126220,41"
"Rioja, La",,2005,EXPORT,"966935,54"
Ceuta,,2005,EXPORT,"115242,12"
Melilla,,2005,EXPORT,"1271,42"
No determinado,,2005,EXPORT,"2549899,87"
Andalucía,,2005,IMPORT,"17560729,04"
Aragón,,2005,IMPORT,"7093194,12"
"Asturias, Principado de",,2005,IMPORT,"3071576,98"
"Balears, Illes",,2005,IMPORT,"2099202,97"
Canarias,,2005,IMPORT,"4304490,96"
Cantabria,,2005,IMPORT,"2034779,14"
Castilla y León,,2005,IMPORT,"9186969,39"
Castilla-La Mancha,,2005,IMPORT,"4680648,65"
Cataluña,,2005,IMPORT,"67448572,60"
Comunitat Valenciana,,2005,IMPORT,"18365839,12"
Extremadura,,2005,IMPORT,"661985,20"
Galicia,,2005,IMPORT,"13752241,60"
"Madrid, Comunidad de",,2005,IMPORT,"52726913,74"
"Murcia, Región de",,2005,IMPORT,"8143630,15"
"Navarra, Comunidad Foral de",,2005,IMPORT,"4368867,20"
País Vasco,,2005,IMPORT,"14530777,17"
"Rioja, La",,2005,IMPORT,"751757,29"
Ceuta,,2005,IMPORT,"196259,59"
Melilla,,2005,IMPORT,"151967,37"
No determinado,,2005,IMPORT,"1824063,48"
Andalucía,,2006,EXPORT,"15771582,00"
Aragón,,2006,EXPORT,"7423990,34"
"Asturias, Principado de",,2006,EXPORT,"3151178,92"
"Balears, Illes",,2006,EXPORT,"1151166,96"
Canarias,,2006,EXPORT,"1274892,05"
Cantabria,,2006,EXPORT,"1966667,70"
Castilla y León,,2006,EXPORT,"9090222,57"
Castilla-La Mancha,,2006,EXPORT,"2904107,58"
Cataluña,,2006,EXPORT,"46775850,94"
Comunitat Valenciana,,2006,EXPORT,"18176363,18"
Extremadura,,2006,EXPORT,"974290,94"
Galicia,,2006,EXPORT,"14611641,83"
"Madrid, Comunidad de",,2006,EXPORT,"17878071,51"
"Murcia, Región de",,2006,EXPORT,"4157047,00"
"Navarra, Comunidad Foral de",,2006,EXPORT,"5492239,04"
País Vasco,,2006,EXPORT,"16622233,19"
"Rioja, La",,2006,EXPORT,"1045428,76"
Ceuta,,2006,EXPORT,"66694,95"
Melilla,,2006,EXPORT,"1957,85"
No determinado,,2006,EXPORT,"1902999,61"
Andalucía,,2006,IMPORT,"22018255,01"
Aragón,,2006,IMPORT,"8213662,98"
"Asturias, Principado de",,2006,IMPORT,"4208332,84"
"Balears, Illes",,2006,IMPORT,"2305898,33"
Canarias,,2006,IMPORT,"5081289,00"
Cantabria,,2006,IMPORT,"2276471,03"
Castilla y León,,2006,IMPORT,"9003471,31"
Castilla-La Mancha,,2006,IMPORT,"5927389,77"
Cataluña,,2006,IMPORT,"74523524,95"
Comunitat Valenciana,,2006,IMPORT,"20328610,73"
Extremadura,,2006,IMPORT,"963357,86"
Galicia,,2006,IMPORT,"15639405,65"
"Madrid, Comunidad de",,2006,IMPORT,"57662915,88"
"Murcia, Región de",,2006,IMPORT,"8523108,34"
"Navarra, Comunidad Foral de",,2006,IMPORT,"5250624,58"
País Vasco,,2006,IMPORT,"17475020,68"
"Rioja, La",,2006,IMPORT,"809132,10"
Ceuta,,2006,IMPORT,"226793,33"
Melilla,,2006,IMPORT,"188046,69"
No determinado,,2006,IMPORT,"2061878,42"
Andalucía,,2007,EXPORT,"15965997,86"
Aragón,,2007,EXPORT,"8753463,36"
"Asturias, Principado de",,2007,EXPORT,"3677163,23"
"Balears, Illes",,2007,EXPORT,"1585522,01"
Canarias,,2007,EXPORT,"1799205,12"
Cantabria,,2007,EXPORT,"2178772,19"
Castilla y León,,2007,EXPORT,"9768960,73"
Castilla-La Mancha,,2007,EXPORT,"3088563,13"
Cataluña,,2007,EXPORT,"49678311,92"
Comunitat Valenciana,,2007,EXPORT,"19650241,53"
