Project;Id;DeadlineDate;Status;tags;keywords
b'Socio-economic research:  non-energy impacts and behavioural insights on energy efficiency interventions';b'LC-SC3-EC-4-2020';b'2020/01/15';b'Open';"b""['nudging', 'multiple benefits', 'public authorities', 'multiple impacts', 'best practice', 'consumer organisation', 'nudges', 'Behaviour', 'policy development', 'research', 'Benefits', 'Social Sciences', 'behaviourally tested policy', 'consumer data', 'energy efficiency', 'energy model', 'Energy', 'SSH', 'Social Science and Humanities', 'Policy', 'modelling', 'Energy efficiency', 'energy policy', 'model', 'behavioural testing', 'behaviour change']""";"b""['RES consumers', 'Energy end-use efficiency and energy services']"""
b'Supporting public authorities in driving the energy transition';b'LC-SC3-EC-5-2020';b'2020/09/10';b'Forthcoming';"b""['public engagement', 'energy efficiency obligation scheme', 'public entrepreneur', 'Covenant of Mayors', '2050 target', 'member states', 'energy union', 'energy efficiency measure', 'institutionalisation', 'local authority', 'public authority', 'multi-level governance', 'roadmaps', 'M&V', 'sustainable energy', 'peer-to-peer', 'public authorities', 'learning programme', 'energy efficiency', 'EED', 'coordination', 'peer learning', 'cities', 'efficiency', 'Energy Efficiency Directive', 'policy', 'civil society', 'public officer', 'monitoring and verification schemes', 'capacity building', 'public sector', 'policies', 'training', 'energy', 'Stakeholder', 'governance', 'sustainable energy action plan', 'SEAP', '2030 target', 'sustainable energy and climate action plan', 'SECAP', 'planning', 'local authorities', 'energy transition', 'regions']""";"b""['Energy efficiency - general', 'Policy making on energy efficiency', 'Policy making on renewable energies']"""
b'DC  AC/DC hybrid grid for a modular, resilient and high RES share grid development';b'LC-SC3-ES-10-2020';b'2020/01/29';b'Open';"b""['converter', 'LV', 'direct current', 'DC', 'MV']""";"b""['Energy systems (production, distribution, applicat', 'Energy systems, smart energy, smart grids, wireles']"""
b'Rapid Relief through Transitions on Islands ';b'LC-SC3-ES-11-2020';b'2020/01/29';b'Open';"b""['islands, island, energy system, smart grid, renewable energy, microgrid, micro-grid']""";"b""['Energy systems, smart energy, smart grids, wireles', 'Energy collection, conversion and storage, renewab', 'Renewable energy sources - general', 'Energy systems (production, distribution, applicat']"""
b'Integrated local energy systems (Energy islands): International cooperation with India';b'LC-SC3-ES-12-2020';b'2020/01/29';b'Open';"b""['consumer engagement', 'Consumers', 'demand response', 'health', 'frequency stability', 'congestion', 'India', 'citizen energy communities', 'grid constraint', 'mobility', 'heat', 'energy services', 'consumer behaviour', 'power system', 'grid']""";"b""['Energy collection, conversion and storage, renewab', 'Energy systems, smart energy, smart grids, wireles', 'Energy systems (production, distribution, applicat']"""
b'Integrated local energy systems (Energy islands)';b'LC-SC3-ES-3-2018-2020';b'2020/01/29';b'Open';b'';"b""['Energy systems (production, distribution, applicat', 'Energy systems, smart energy, smart grids, wireles', 'Energy collection, conversion and storage, renewab']"""
b'Decarbonising energy systems of geographical Islands';b'LC-SC3-ES-4-2018-2020';b'2020/01/29';b'Open';"b""['islands, island, energy system, smart grid, renewable energy, microgrid, micro-grid']""";"b""['Energy systems, smart energy, smart grids, wireles', 'Energy systems (production, distribution, applicat', 'Energy collection, conversion and storage, renewab']"""
b'TSO  DSO  Consumer: Large-scale demonstrations of innovative grid services through demand response, storage and small-scale (RES) generation';b'LC-SC3-ES-5-2018-2020';b'2020/01/29';b'Open';"b""['platforms', 'Grid services', 'decentralisation', 'energy services', 'TSO-DSO cooperation']""";"b""['Energy systems (production, distribution, applicat', 'Energy systems, smart energy, smart grids, wireles', 'Energy collection, conversion and storage, renewab']"""
b'Long Term EU-Africa Partnership for Research and Innovation actions in the area of renewable energy';b'LC-SC3-JA-5-2020';b'2020/03/26';b'Open';"b""['joint research, innovation', 'Africa, renewable energy, frugal innovation, research cooperation, co-fund']""";"b""['Renewable energy sources - general']"""
b'Low carbon industrial production using CCUS';b'LC-SC3-NZE-5-2020';b'2020/09/01';b'Forthcoming';"b""['CCUS, CO2 capture, CO2 purity, CO2 transport, CO2 utilisation, geological storage, CO2, industrial installations, low carbon industry, optimised integration, scalability']""";"b""['Carbon capture and sequestration']"""
b'Geological Storage Pilots';b'LC-SC3-NZE-6-2020';b'2020/09/01';b'Forthcoming';b'';"b""['Carbon capture and sequestration']"""
b'Developing the next generation of renewable energy technologies';b'LC-SC3-RES-1-2019-2020';b'2020/04/21';b'Forthcoming';"b""['open access', 'alcohols', 'control systems', 'Smart Grid Task Force', 'thermochemical conversion', 'wind rotors', 'advanced power electronics', 'geothermal', 'chemical synthesis', 'cyber security', 'energy generation', 'energy system', 'renewable energy', 'sun to fuels', 'CO2', 'wind energy technology wind flows', 'wind energy', 'power to x', 'materials', 'chemical catalytic conversion', 'New knowledge', 'heat pumps', 'flue gases', 'paraffinic biofuels', 'new technologies', 'Mission Innovation', 'bioenergy', 'big data', 'power to heat', 'rotors', 'photovoltaics', 'Virtual Power Plant', 'biofuels', 'Sustainable Fuels', 'conversion routes', 'renewable fuel', 'lignocellulosic biomass', 'H2O', 'energy conversion', 'synthetic molecular', 'conversion technologies', 'novel fuels']""";"b""['Renewable energy sources - general', 'Transport biofuels', 'Renewable heating & cooling', 'Bioenergy', 'Renewable electricity']"""
b'Pre-Commercial Procurement for a 100% Renewable Energy Supply';b'LC-SC3-RES-10-2020';b'2020/03/26';b'Open';"b""['NZEB', 'Nearly Zero-Energy Buildings', 'cooling', 'procurement', 'Renewable energy', 'heating', 'energy building', 'building']""";"b""['Energy efficient buildings', 'Renewable heating & cooling', 'Renewable electricity', 'RES integration in buildings', 'Renewable energy sources - general']"""
b'Advanced drilling and well completion techniques for cost reduction in geothermal energy';b'LC-SC3-RES-18-2020';b'2020/04/21';b'Forthcoming';"b""['deep geothermal', 'Advanced drilling', 'geothermal energy', 'drilling', 'SET-Plan', 'geothermal']""";"b""['Geothermal', 'Renewable energy sources - general']"""
b'Demonstration of innovative technologies for floating wind farms';b'LC-SC3-RES-19-2020';b'2019/12/11';b'Open';b'';b''
b'Efficient combination of Concentrated Solar Power and desalination (with particular focus on the Gulf Cooperation Council (GCC) region)';b'LC-SC3-RES-20-2020';b'2020/09/01';b'Forthcoming';b'';"b""['Renewable energy sources - general', 'Concentrated Solar Power', 'Renewable electricity']"""
b'International cooperation with Japan for Research and Innovation on advanced biofuels and alternative renewable fuels';b'LC-SC3-RES-25-2020';b'2020/09/01';b'Forthcoming';"b""['biofuel', 'Mission Innovation', 'Japan', 'advanced biofuels', 'Innovation Challenge 4', 'biofuels', 'catalyst', 'alternative renewable fuels']""";"b""['Transport biofuels']"""
b'Development of next generation renewable fuel technologies from CO2 and renewable energy (Power and Energy to Renewable Fuels)';b'LC-SC3-RES-26-2020';b'2020/04/21';b'Forthcoming';"b""['renewable energy', 'renewable fuel', 'power to X', 'conversion of direct renewable energy', 'CO2 reuse']""";"b""['Bioenergy', 'Transport biofuels', 'Renewable energy sources - general']"""
b'Demonstration of advanced biofuels production from aquatic biomass';b'LC-SC3-RES-27-2020';b'2019/12/11';b'Open';"b""['seaborne aquatic biomass', 'advanced biofuels', 'aquatic biomass']""";"b""['Transport biofuels']"""
b'Market Uptake support';b'LC-SC3-RES-28-2018-2019-2020';b'2019/12/11';b'Open';"b""['grid', 'sustainability', 'capital expenditure', 'reserve market', 'Public Procurement of Innovative Solutions', 'bioethanol', 'pulp', 'consumption', 'electricity market', 'paper', 'tender', 'energy market', 'financing schemes', 'consumer acceptance', 'developing', 'balancing', 'energy-performance', 'production', 'legislation', 'Market Uptake', 'cross-border', 'support schemes', 'bioenergy', 'energy system', 'life-cycle', 'intermediate bioenergy carriers', 'peak power', 'legal', '2020 RES targets', 'countries', 'policy', 'financial framework', 'Combined Heat and Power', 'best practices', 'biomass', 'regulations', 'renewable fuels', 'bio-kerosene', 'logistics', 'hydropower', 'emerging', 'RES co-operation mechanisms', 'feedstock', 'risk mitigation', 'fossil refineries', 'COPERNICUS', 'industrial installations', 'fossil firing power', 'consumers', 'harmonisation', 'CHP', 'insurance', 'environmental impact', 'models', 'geothermal drilling', 'Retrofitting', 'first generation biofuels', 'financing', 'life cycle assessment', 'financing mechanisms', 'Clean Energy for all Europeans', 'capacity building', 'methods', 'CAPEX', 'bioenergy carriers', 'offshore installation', 'market support', 'advanced biofuels', 'renewable energy', 'uptake of renewable sources', 'global earth observation data', 'heat and power generation', 'export', 'biodiesel', 'share of renewable']""";"b""['Renewable electricity', 'Renewable heating & cooling', 'Transport biofuels', 'Bioenergy']"""
b'International Cooperation with USA and/or China on alternative renewable fuels from sunlight for energy, transport and chemical storage';b'LC-SC3-RES-3-2020';b'2020/09/01';b'Forthcoming';"b""['chemical storage', 'Innovation Challenge 4', 'renewable energy', 'China', 'transport sunlight', 'alternative renewable fuels', 'Innovation Challenge 5', 'IC4', 'Mission Innovation', 'IC5', 'USA']""";"b""['Transport biofuels']"""
b'Offshore wind basic science and balance of plant';b'LC-SC3-RES-31-2020';b'2020/04/21';b'Forthcoming';"b""['balance of plant', 'wind turbine', 'Offshore wind', 'wind', 'wind mill']""";"b""['Renewable electricity', 'Offshore Technologies', 'Wind']"""
b'New test rig devices for accelerating ocean energy technology development  ';b'LC-SC3-RES-32-2020';b'2020/04/21';b'Forthcoming';"b""['wave energy', 'test rig', 'OES', 'ocean energy', 'tidal energy']""";"b""['Renewable electricity', 'Ocean energy']"""
b'Increase performance and reliability of photovoltaic plants';b'LC-SC3-RES-33-2020';b'2019/12/11';b'Open';"b""['solar cell', 'SET-Plan', 'operation model', 'floating photovoltaic', 'fault diagnostic model', 'photovoltaic plant', 'model-predictive control framework', 'floating PV', 'solar cells', 'photovoltaic']""";"b""['Photovoltaics', 'Renewable electricity', 'Renewable energy sources - general']"""
b'Demonstration of innovative and sustainable hydropower solutions targeting unexplored small-scale hydropower potential in Central Asia';b'LC-SC3-RES-34-2020';b'2020/09/01';b'Forthcoming';"b""['Hydropower', 'small scale hydropower', 'Central Asia']""";"b""['Renewable electricity', 'Renewable energy sources - general', 'Hydro']"""
b'Reduce the cost and increase performance and reliability of CSP plants';b'LC-SC3-RES-35-2020';b'2019/12/11';b'Open';"b""['CSP', 'SET-Plan', 'Concentrated Solar Power']""";"b""['Renewable electricity', 'Renewable energy sources - general', 'Concentrated Solar Power']"""
b'International cooperation with Canada on advanced biofuels and bioenergy';b'LC-SC3-RES-36-2020';b'2020/09/01';b'Forthcoming';"b""['pre-treatment', 'Canada', 'supply chain', 'bioenergy carriers', 'biomass', 'biomass feedstock', 'bioenergy', 'advanced biofuels']""";"b""['Transport biofuels']"""
b'Combined clean biofuel production and phytoremediation solutions from contaminated lands worldwide';b'LC-SC3-RES-37-2020';b'2020/04/21';b'Forthcoming';"b""['contaminated lands', 'phytoremediation', 'biofuel production']""";"b""['Transport biofuels', 'Environmental and geological engineering, geotechn']"""
b'Next generation of thin-film photovoltaic technologies  ';b'LC-SC3-RES-9-2020';b'2019/12/11';b'Open';"b""['solar cell', 'PV', 'thin-film', 'solar cells', 'thin-film photovoltaic']""";"b""['Renewable electricity', 'Photovoltaics']"""
b'Smart Airports';b'LC-SC3-SA-1-2020';b'2020/01/29';b'Open';"b""['Aviation low carbon fuels, biokerosene, airport, biofuels, aviation, airports, biokerosene logistics, biokerosene blending, energy integration, GHG reduction, reduction of emission in airports']""";"b""['Transport biofuels', 'Sustainable transport']"""
b'Smart Cities and Communities';b'LC-SC3-SCC-1-2018-2019-2020';b'2020/01/29';b'Open';"b""['Smart cities, citizens, smart solutions, positive energy, positive energy blocks, positive energy districts, smart district, connecting, RES, electro-mobility, ICT-platforms, integrated solutions, business models, replication, Lighthouse cities, Fellow cities, buildings, heating and cooling, storage, batteries, smart grid']""";"b""['Energy efficiency - general', 'Energy systems (production, distribution, applicat', 'Energy storage', 'Renewable energy sources - general', 'Energy systems, smart energy, smart grids, wireles']"""
b'Positive Energy Districts and Neighbourhoods for urban energy transitions';b'LC-SC3-SCC-2-2020';b'2020/09/01';b'Forthcoming';"b""['Smart cities, citizens, smart solutions, positive energy, positive energy blocks, positive energy districts, smart district, connecting, RES, electro-mobility, ICT-platforms, integrated solutions, business models, replication, Lighthouse cities, Fellow cities, buildings, heating and cooling, storage, batteries, smart grid']""";"b""['Energy systems, smart energy, smart grids, wireles', 'Energy collection, conversion and storage, renewab', 'RES integration in buildings', 'Sustainable energy communities', 'Energy storage', 'Energy systems (production, distribution, applicat']"""
b'Forest soils Research and Innovation Action';b'LC-SFS-22-2020';b'2020/01/22';b'Open';"b""['forest management practices/systems', 'climate change mitigation', 'carbon sequestration', 'soil properties', 'harmonised methods for soil evaluation', 'soil biodiversity']""";"b""['Forest adaptation to climate change', 'Carbon sequestration in forest (mitigation)', 'Soil conservation', 'Soil science', 'Soil biology', 'Ecosystem services provided by soils', 'Soil chemistry', 'Soil biodiversity', 'Forest soils', 'Soil protection', 'Forestry', 'Soil ecology', 'Soil functions', 'Forest biodiversity', 'Forest resilience', 'Soil management']"""
b'Copernicus evolution: Research activities in support of the evolution of the Copernicus services';b'LC-SPACE-18-EO-2020';b'2020/03/05';b'Forthcoming';b'';"b""['Earth Observation / Services and applications']"""
b'Copernicus evolution: new concept for an innovative and holistic solution for Sentinels calibration & validation';b'LC-SPACE-19-EO-2020';b'2020/03/05';b'Forthcoming';b'';"b""['Earth Observation / Services and applications']"""
b'Copernicus evolution: Mission exploitation concept for WATER';b'LC-SPACE-24-EO-2020';b'2020/03/05';b'Forthcoming';b'';"b""['Water resources', 'Earth Observation / Services and applications']"""
b'EGNSS applications fostering green, safe and smart mobility';b'LC-SPACE-EGNSS-1-2019-2020';b'2020/03/05';b'Forthcoming';b'';"b""['Global Satellite Navigation System (GNSS) / Servic', 'GALILEO', 'EGNOS - European Geostationary Navigation Overlay']"""
b'Novel high performance materials and components (RIA)';b'LC-SPIRE-08-2020';b'2020/02/05';b'Open';"b""['H2020-NMBP-ST-IND-2020', 'processing', 'Low carbon', 'LC-SPIRE-08-2020']""";"b""['Materials engineering (biomaterials, metals, ceram', 'Renewable energy sources - general', 'Mechanical and manufacturing engineering (shaping,', 'Decarbonisation', 'Structural properties of materials', 'Energy efficient industry', 'Metallurgy engineering']"""
"b""Enhancing coordination between Member States' actions in the area of infrastructure research with a particular focus on biodiversity and ameliorating environmental impacts and full automated infrastructure upgrade and maintenance""";b'MG-2-10-2020';b'2020/01/09';b'Open';"b""['infrastructure maintenance', 'V2I', 'Biodiversity', 'infrastructure upgrade', 'research coordination', 'TRL7']""";"b""['Automation', 'Robotics', 'Transport & Mobility', 'Piloting', 'Multi-modal and infrastructure', 'Network infrastructures']"""
"b""Enhancing coordination between Member States' actions in the area of infrastructure research with a particular focus on biodiversity and ameliorating environmental impacts and full automated infrastructure upgrade and maintenance""";b'MG-2-10-2020';b'2020/04/21';b'Forthcoming';"b""['infrastructure maintenance', 'V2I', 'Biodiversity', 'infrastructure upgrade', 'research coordination', 'TRL7']""";"b""['Automation', 'Robotics', 'Transport & Mobility', 'Piloting', 'Multi-modal and infrastructure', 'Network infrastructures']"""
b'Network and traffic management for future mobility';b'MG-2-11-2020';b'2020/01/09';b'Open';"b""['multimodal network', 'traffic optimisation', 'connected and automated transport', 'smart infrastructures', 'freight and passenger transport', 'network management']""";"b""['Traffic demand management', 'Traffic management and surveillance', 'Transport management', 'Multimodality', 'Transport & Mobility', 'Intelligent Transport Systems (ITS)']"""
b'Improving road safety by effectively monitoring working patterns and overall fitness of drivers';b'MG-2-12-2020';b'2020/01/09';b'Open';"b'[\'Drugs\', \'road safety\', \'fatigue\', \'working patterns\', \'substances\', \'roadside tests\', ""Driver\'s fitness""]'";"b""['Road transport', 'Transport & Mobility', 'Ageing', 'Technological innovation', 'Training']"""
b'Coordination and support for an integrated freight transport and logistics system';b'MG-2-13-2020';b'2020/04/21';b'Forthcoming';"b""['funded projects', 'stakeholder engagement', 'supply chain', 'integrated transport', 'freight', 'KPIs']""";"b""['Transport & Mobility', 'Logistics', 'Intermodal freight transport', 'Participatory/Participation', 'Freight and logistics', 'Distribution and logistics']"""
b'The effects of automation on the transport labour force, future working conditions and skills requirements';b'MG-2-14-2020';b'2020/04/21';b'Forthcoming';"b""['labour force', 'skills', 'working conditions', 'digitalisation', 'employment', 'women']""";"b""['Transport planning and social aspects of transport', 'Transport & Mobility', 'Gender in transport planning', 'Sustainable transport', 'Social structure, inequalities, social mobility, i', 'Stakeholder management']"""
b'Innovative electric network architectures and systems, optimising global energy, electrical power, data and communication for aviation';b'MG-3-4-2020';b'2020/04/21';b'Forthcoming';"b""['electric network architectures', 'wireless networks', 'aviation', 'data and communication', 'electrical heat dissipation']""";"b""['Transport engineering, intelligent transport syste', 'Electrical engineering, Electronic engineering, In', 'Network technologies / Internetworking', 'Aerospace engineering', 'Networks (communication networks, sensor networks,']"""
b'Next generation multifunctional and intelligent airframe and engine parts, with emphasis on manufacturing, maintenance and recycling';b'MG-3-5-2020';b'2020/04/21';b'Forthcoming';"b""['Aeronautics', 'composites', 'innovative manufacturing technologies', 'mutifunctional and intelligent airframe parts', 'damage diagnostics']""";"b""['Transport engineering, intelligent transport syste', 'Mechanical and manufacturing engineering (shaping,', 'AMP Advanced Manufacturing Processes & Technologie', 'Smart manufacturing', 'Manufacturing of aircrafts', 'Aerostructures AST']"""
b'Towards sustainable urban air mobility';b'MG-3-6-2020';b'2020/04/21';b'Forthcoming';"b""['environmental sustainability', 'UAM', 'regulatory aspects', 'drones', 'public acceptance', 'urban air mobility']""";"b""['Active safety of vehicles', 'BTT4 Safety enabling technologies - remote contro', 'Urban transport', 'Human behaviour modelling and simulation', 'Passive safety of vehicles', 'Modelling and knowledge engineering', 'Sustainable transport']"""
b'Improved Production and Maintenance Processes in Shipyards';b'MG-3-7-2020';b'2020/04/21';b'Forthcoming';"b""['production processes', 'shipyards', 'maintenance processes', 'digital production', 'robotics']""";"b""['Shipbuilding and marine equipment manufacturing', 'Transport engineering', 'Ship repair and conversion', 'Waterborne transport']"""
"b""'First of a Kind' solutions for sustainable transport and mobility: EU initiative for accelerating EU-wide market access, scale up and derisking""";b'MG-3-8-2020';b'2020/04/21';b'Forthcoming';"b""['access to finance', 'first of a kind', 'de-risking']""";"b""['Clean vehicles', 'Sustainable transport', 'Innovative procurement', 'Collective Awareness Platforms', 'Financing for sustainable transport']"""
b'Improving impact and broadening stakeholder engagement in support of transport research and innovation';b'MG-4-10-2020';b'2020/04/21';b'Forthcoming';"b""['TRA', 'senior researchers', 'young researchers', 'transport modes', 'R&D roadmap', 'Shipping', 'stakeholder engagement', 'IWT', 'waterborne technology platform', 'Environmental performance']""";"b""['Transport & Mobility', 'Decarbonisation', 'PLATINA', 'NAIADES', 'Waterborne transport', 'Inland Waterways (IWW)']"""
b'Digitalisation of the transport system: data sharing';b'MG-4-7-2020';b'2020/04/21';b'Forthcoming';"b""['data exchange', 'data sharing', 'big data', 'digitalisation']""";"b""['Cloud Services', 'Transport & Mobility', 'Web and information systems, database systems, inf', 'Very large data bases: archiving, handling and ana', 'Transport engineering, intelligent transport syste', 'Library science', 'Open data']"""
b'Advanced research methods and tools in support of transport/mobility researchers, planners and policy makers';b'MG-4-8-2020';b'2020/04/21';b'Forthcoming';"b""['transport research', 'policy makers', 'data collection and management', 'business models', 'planners', 'big data']""";"b""['Transport & Mobility', 'Analysis', 'Transport planning and social aspects of transport', 'Scientific computing, simulation and modelling too', 'Innovation methodologies', 'Sustainable transport - general']"""
b'The European mobility culture of tomorrow: Reinventing the wheel?';b'MG-4-9-2020';b'2020/04/21';b'Forthcoming';"b""['sustainable mobility', 'mobility culture']""";"b""['Social innovation', 'Transport planning and social aspects of transport', 'Behavioural sciences', 'Cultural anthropology', 'Foresight / Forecast', 'Philosophy, History and philosophy of science and']"""
b'Under water noise mitigation and environmental impact';b'MG-BG-03-2020';b'2020/04/21';b'Forthcoming';"b""['underwater noise', 'shipping', 'boats']""";"b""['Underwater technology', 'Waterborne transport', 'Environmental sciences', 'Maritime transport', 'Underwater communications']"""
b'Inclusive and innovative practices for the integration of recently arrived migrants in local communities';b'MIGRATION-04-2020';b'2020/03/12';b'Forthcoming';"b'[\'governance\', ""migrant\'s rights and access to services"", \'socio-economic integration\', \'education\', \'integration of migrants\', \'diversity\']'";"b""['Political systems and institutions, governance', 'Inclusion', 'Participatory/Participation', 'Migration', 'Political science', 'Social innovation', 'Communities of practices', 'Civil society organisations']"""
b'Mapping and overcoming integration challenges for migrant children';b'MIGRATION-05-2018-2020';b'2020/03/12';b'Forthcoming';"b""['formal education', 'informal education', 'integration', 'education', 'civil society organisations', 'diversity', 'migrant children']""";"b""['Psychology', 'Family studies, Social work', 'Sociology', 'Non-formal education', 'Globalisation, migration, interethnic relations', 'Education policy', 'Social psychology', 'Gender in education', 'Migration', 'School education', 'Formal education', 'Population dynamics, aging, health and society', 'Human rights', 'Demography', 'Educational sciences', 'Educational psychology', 'Pre-school education', 'Rights of the child', 'Education, general (including training, pedagogy,']"""
b'Narratives on migration and its impact: past and present';b'MIGRATION-09-2020';b'2020/03/12';b'Forthcoming';"b""['perseptions of migrants', 'impact', 'integration', 'narratives', 'migration']""";"b""['Sociology of development', 'Political science', 'Myth, ritual, symbolic representations, religious', 'Sociology of work', 'History', 'History of ideas, intellectual history, history of', 'Social structure, inequalities, social mobility, i', 'Social, economic, cultural and political history', 'Social Networks', 'Media and communications', 'Ageing, work, social policies', 'Human rights', 'Psychology', 'Collective memories, identities, lieux de mmoire,', 'Social psychology', 'Racism, xenophobia, and other forms of intolerance', 'Migration']"""
b'Sustainable practices for the integration of newly arrived migrants into societies';b'MIGRATION-10-2020';b'2020/03/12';b'Forthcoming';"b""['policy recommendations on migration', 'support to research on migrant integration', 'migration crisis', 'integration policies', 'migrant integration', 'governance of migration']""";"b""['Gender in social sciences', 'Sociology', 'Political science', 'EU research policy /Research policies in the EU', 'Public administration', 'Migration', 'Social structure, inequalities, social mobility, i', 'Political systems and institutions, governance']"""
b'Co-funding of regional, national and international programmes';b'MSCA-COFUND-2020';b'2020/09/29';b'Forthcoming';"b""['COFUND', 'Marie Sklodowska-Curie Actions', 'MC', 'MSCA']""";b''
b'Individual Fellowships';b'MSCA-IF-2020';b'2020/09/09';b'Forthcoming';"b""['IF', 'MC', 'Marie Sklodowska-Curie Actions', 'reintegration', 'career restart', 'Individual Fellowships', 'MSCA', 'global fellowships']""";b''
b'Innovative Training Networks';b'MSCA-ITN-2020';b'2020/01/14';b'Open';"b""['MC', 'MSCA', 'Industrial Doctorates', 'Joint Doctorates', 'Marie Sklodowska-Curie Actions', 'ITN', 'Innovative Training Networks', 'EJD', 'EID', 'ETN']""";b''
"b""European Researchers' Night""";b'MSCA-NIGHT-2020';b'2020/01/09';b'Open';"b""['MSCA', 'MC', 'NIGHT', 'Marie Sklodowska-Curie Actions']""";b''
b'Research and Innovation Staff Exchange';b'MSCA-RISE-2020';b'2020/04/28';b'Forthcoming';"b""['Marie Sklodowska-Curie Actions', 'MC', 'MSCA', 'Research Innovation Staff Exchange', 'RISE']""";b''
b'Safe by design, from science to regulation: multi-component nanomaterials (RIA)';b'NMBP-16-2020';b'2019/12/12';b'Open';"b""['NMBP-16-2020', 'Design innovation', 'H2020-NMBP-TO-IND-2020']""";"b""['Surface science and nanostructures', 'Competitiveness, innovation, research and developm', 'Risks and vulnerabilities assessment', 'Design-Manufacturing', 'Chemical engineering, technical chemistry', 'Innovation strategies', 'Entrepreneurship', 'Paint and coatings', 'Industrial chemistry', 'Catalysis', 'Nano-materials (production and properties)', 'Regulatory framework for innovation', 'Environmental planning', 'Environmental chemistry', 'Knowledge transfer', 'Cement, Ceramics and composites', 'Carbon-based polymers and activated carbons', 'Product innovation', 'Graphene, 2D materials', 'Surface modification', 'Piloting', 'Public and environmental health', 'Risk reduction', 'Materials engineering (biomaterials, metals, ceram', 'Polymers and plastics', 'Production technology, process engineering', 'New materials: oxides, alloys, composite, organic-', 'Semiconductors and Nanotechnology', 'Nanotechnology, nano-materials, nano engineering', 'Environment and health risks, occupational medicin', 'Toxicology', 'Graphene, layered material', 'Quality management', 'Risks assessment, modelling and impact reduction', 'Occupational safety']"""
b'Biological scaffolds for tissue regeneration and repair (RIA)';b'NMBP-21-2020';b'2019/12/12';b'Open';"b""['NMBP-21-2020', 'H2020-NMBP-TR-IND-2020']""";"b""['Personalised medicine', 'Physical chemistry of biological systems', 'Materials engineering (biomaterials, metals, ceram', 'Translational medicine']"""
b'Towards harmonised characterisation protocols in NMBP (RIA) ';b'NMBP-35-2020';b'2019/12/12';b'Open';"b""['Measurement and Testing', 'Characterisation Methods', 'Standards', 'NMBP-35-2020', 'H2020-NMBP-TO-IND-2020']""";"b""['Characterization methods of materials', 'Structural properties of materials', 'Materials engineering (biomaterials, metals, ceram', 'Surface science and nanostructures', 'Nanotechnology, nano-materials, nano engineering', 'Nano-materials (production and properties)']"""
b'Monitoring and safety of transport infrastructures (CSA)';b'NMBP-36-2020';b'2020/02/05';b'Open';"b""['transport infrastructures', 'Bridges', 'safety of bridges', 'monitoring safety and maintenance', 'Damage detection technologies']""";"b""['Transport sector', 'Construction engineering, Municipal and structural', 'Transport engineering, intelligent transport syste']"""
b'Incentivising newcomers (CSA)';b'NMBP-37-2020';b'2020/02/05';b'Open';"b""['newcomers', 'NMBP-37-2020', 'widening', 'H2020-NMBP-TO-IND-2020', 'H2020 participation', 'SMEs']""";"b""['Related to industrial policy', 'Related to SME and start-up support']"""
b'Citizens and industrial technologies (CSA)';b'NMBP-38-2020';b'2020/02/05';b'Open';"b""['NMBP-38-2020', 'H2020-NMBP-TO-IND-2020']""";"b""['EU research policy /Research policies in the EU']"""
b'Ocean-Monitoring';b'OM';b'2020/01/15';b'Open';"b""['ocean', 'environmental monitoring', 'wave energy', 'ocean energy devices', 'licensing', 'renewables', 'impact assessment', 'ocean energy', 'ocean monitoring', 'tidal energy']""";b''
b'RESponsible Island - Prize for a renewable geographic energy island ';b'Prize-SC3-2019';b'2019/09/26';b'Open';"b""['geothermal energy', 'renewable energy', 'decentralized energy grid', 'geographic energy island', 'bioenergy', 'biofuels', 'solar energy', 'renewable heating', 'wind energy', 'recognition prize', 'renewable electricity', 'ocean energy', 'prosumer', 'renewable fuel', 'renewable cooling']""";"b""['Bioenergy', 'Energy systems (production, distribution, applicat', 'Sustainable energy communities', 'Renewable heating & cooling', 'RES consumers', 'Renewable electricity', 'Renewable energy sources - general']"""
b'Call for proposals for action grants for limiting dual quality and strengthening consumer organisations in the EU';b'REC-CONS-RPPI-AG-2019';b'2019/11/06';b'Open';"b""['New Deal for Consumers', 'Training of consumer organisations', 'Exchange of good practices', 'comparative product testing', 'testing and comparing basic consumption products', 'dual quality', 'common testing methodology', 'misleading information provided on the packaging', 'consumer organsiations', 'consumer protection', 'capacities of consumer organisations', 'dual quality consumer products', 'misleading branding strategies']""";b''
b'Connecting consumers and producers in innovative agri-food supply chains';b'RUR-05-2020';b'2020/01/22';b'Open';"b""['Common Agricultural Policy', 'Food', 'Direct sale', 'Public procurement', 'Short supply chain', 'Local governance', 'EIP-AGRI', 'CAP']""";"b""['Retail, wholesale or distribution', 'Quality management', 'Political systems and institutions, governance', 'Knowledge transfer', 'Food quality', 'Circular economy', 'Creativity management', 'Participatory Innovation', 'Supply chain management', 'Market development']"""
b'Innovative agri-food value chains: boosting sustainability-oriented competitiveness';b'RUR-06-2020';b'2020/01/22';b'Open';"b""['SME', 'Competitiveness', 'Food losses and waste', 'Food supply chain', 'Agri-food value chain', 'Small and medium sized enterprise', 'Food waste']""";"b""['Specific business types (mutual, cooperatives, fam', 'Food storage', 'Organisational management / development', 'Retail, wholesale or distribution', 'Business governance', 'Innovation strategies', 'Competitiveness, innovation, research and developm', 'Food and beverages', 'New business opportunities', 'Food and drink processing', 'Resources efficiency', 'Circular economy']"""
