Region;Year;LastUpdateDate;id;PersEmplIDTotal;PersEmplIDTotalMuj;PersEmplIDTotalEmp;PersEmplIDTotalEmpMuj;PersEmplIDTotalAdPub;PersEmplIDTotalAdPubMuj;PersEmpIDTotalEnsSup;PersEmpIDTotalEnsSupMuj;InvIDTotal;InvIDTotalMuj;InvIDTotalEmp;InvIDTotalEmpMuj;InvIDTotalAdPub;InvIDTotalAdPubMuj;InvIDTotalEnsSup;InvIDTotalEnsSupMuj
Asturias, Principado de;2016;2019-08-07;Asturias2016;3127.3;1254.3;1254.3;381.2;1217.7;306.7;1281.5;566.3;2077.2;808.1;757.7;228.9;269.1;153.4;1048.0;425.7
Balears, Illes;2016;2019-08-07;Balears2016;2005.3;881.8;368.7;80.1;587.6;237.7;1179.7;562.7;1538.7;703.1;170.2;45.0;305.0;157.1;1058.7;500.1
Canarias;2016;2019-08-07;Canarias2016;3202.5;1236.1;519.9;147.4;448.9;385.1;1647.3;701.7;2248.0;859.0;286.0;92.1;549.2;190.5;1411.4;576.0
Cantabria;2016;2019-08-07;Cantabria2016;1836.2;785.2;573.6;162.9;1030.9;263.0;767.6;344.2;1124.1;470.7;256.1;76.2;275.8;147.9;585.8;244.1
Castilla y León;2016;2019-08-07;Castilla y León2016;8873.5;3784.6;3406.9;1035.7;453.7;480.2;4539.0;2264.8;5836.6;2527.2;1641.2;512.4;432.8;194.6;3756.2;1816.3
Castilla - La Mancha;2016;2019-08-07;Castilla - La Mancha2016;3149.7;1218.0;1538.0;502.1;918.2;226.9;-2;-2;1703.3;659.8;704.3;239.1;312.4;132.4;-2;-2
Cataluña;2016;2019-08-07;Cataluña2016;46592.4;19654.5;22064.3;7391.3;496.1;5033.4;14561.2;7107.6;27544.1;11017.5;11132.9;3576.7;5587.9;2599.9;10676.4;4767.0
Comunitat Valenciana;2016;2019-08-07;Valencia2016;18741.2;7540.0;7140.2;2106.4;9747.3;1376.4;9145.3;4052.7;11606.0;4470.4;3553.5;1028.3;1319.4;712.2;6728.8;2728.4
Extremadura;2016;2019-08-07;Extremadura2016;1885.8;714.6;425.0;126.8;2447.4;195.3;-2;-2;1255.0;472.8;186.6;54.0;192.2;83.9;-2;-2
Galicia;2016;2019-08-07;Galicia2016;9366.9;3806.3;3777.2;996.1;466.3;837.6;4164.5;1954.6;5782.5;2211.5;2115.2;559.3;717.0;389.0;2923.3;1247.6
Madrid, Comunidad de;2016;2019-08-07;Madrid2016;48701.1;19443.1;22295.0;7135.1;1395.8;6488.8;13489.7;5733.1;29287.3;11450.5;11733.7;3758.4;6334.2;3117.6;11160.6;4536.4
Murcia, Región de;2016;2019-08-07;Murcia2016;5808.3;2194.7;1910.8;586.6;12787.0;239.8;3368.9;1366.7;3822.7;1402.6;763.8;207.0;273.9;117.9;2781.9;1076.7
Navarra, Comunidad Foral de;2016;2019-08-07;Navarra2016;4587.8;1765.4;2510.0;727.9;524.7;206.6;-2;-2;3094.8;1148.5;1421.5;388.9;290.3;119.0;-2;-2
País Vasco;2016;2019-08-07;País Vasco2016;17831.4;6411.6;12538.1;3645.7;429.4;725.4;4026.0;2027.5;11747.9;4195.6;7678.8;2250.7;598.6;278.4;3452.4;1656.7
Rioja, La;2016;2019-08-07;Rioja2016;1383.7;579.2;523.8;147.7;1245.5;141.5;602.5;290.0;909.2;419.3;206.9;70.9;150.4;85.0;551.2;263.4
Ceuta;2016;2019-08-07;Ceuta2016;-2;-2;-2;-2;256.7;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
Melilla;2016;2019-08-07;Melilla2016;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
Total;2017;2019-08-07;Nacional2017;215744.5;86353.9;95667.3;29916.3;-2;20928.2;79285.5;35239.2;133213.2;51657.2;49571.0;15510.4;20844.3;9979.9;62541.9;26032.1
Andalucía;2017;2019-08-07;Andalucía2017;24442.3;9885.7;7675.8;2267.6;40282.9;2629.8;11383.5;4975.6;13919.1;5431.7;3333.1;991.3;2349.8;1059.4;8223.9;3374.3
Aragón;2017;2019-08-07;Aragón2017;5745.7;2272.6;2433.9;676.1;5319.7;582.8;2106.3;1012.1;3891.3;1598.9;1297.4;405.7;646.6;280.2;1944.5;911.7
Asturias, Principado de;2017;2019-08-07;Asturias2017;3264.0;1273.1;1310.4;408.8;1202.4;259.9;1443.5;603.7;2224.5;875.3;789.4;251.6;209.8;116.3;1223.4;507.3
Balears, Illes;2017;2019-08-07;Balears2017;2203.9;969.4;377.6;84.5;506.8;279.2;1319.7;604.6;1666.1;778.2;150.3;44.0;342.9;194.3;1168.1;539.0
Canarias;2017;2019-08-07;Canarias2017;3360.2;1327.9;577.8;169.5;499.8;423.6;1688.3;733.2;2324.4;898.5;304.8;96.5;565.0;197.7;1453.4;603.9
Cantabria;2017;2019-08-07;Cantabria2017;1723.2;746.9;598.2;181.3;1090.5;220.2;721.8;333.2;1082.2;458.6;308.3;97.7;226.0;125.3;542.7;233.7
Castilla y León;2017;2019-08-07;Castilla y León2017;9478.8;3910.6;3839.7;1124.7;371.1;506.8;4684.6;2269.9;6191.2;2588.5;1830.4;550.2;437.2;205.7;3918.8;1829.0
Castilla - La Mancha;2017;2019-08-07;Castilla - La Mancha2017;3131.9;1232.6;1499.2;518.3;942.1;226.0;1141.0;481.7;1747.5;703.5;676.0;254.5;295.6;131.2;773.6;317.7
Cataluña;2017;2019-08-07;Cataluña2017;48552.4;20385.1;23363.8;7788.2;481.6;5400.2;14914.8;7103.8;28921.7;11404.8;11838.2;3820.7;5784.0;2705.9;11193.9;4830.3
Comunitat Valenciana;2017;2019-08-07;Valencia2017;19128.9;7681.0;7487.4;2236.7;10100.1;1273.2;9393.2;4167.3;11825.1;4569.6;3647.7;1084.3;1261.5;671.2;6911.5;2812.3
Extremadura;2017;2019-08-07;Extremadura2017;2041.1;782.4;524.9;145.8;2240.9;229.6;-2;-2;1340.9;509.8;251.9;69.6;190.4;88.6;-2;-2
Galicia;2017;2019-08-07;Galicia2017;10265.6;4104.8;4618.3;1267.0;487.7;902.1;4131.7;1914.1;6127.5;2413.8;2368.9;703.8;786.7;432.8;2943.1;1258.9
Madrid, Comunidad de;2017;2019-08-07;Madrid2017;51634.2;20299.9;22915.7;7540.9;1483.5;6657.4;15543.9;6013.7;31673.5;11852.3;12191.8;3963.8;6386.4;3152.9;13034.0;4695.0
Murcia, Región de;2017;2019-08-07;Murcia2017;5993.3;2304.2;2126.6;667.3;13044.2;254.5;-2;-2;3898.7;1470.9;883.6;231.3;280.9;120.4;-2;-2
Navarra, Comunidad Foral de;2017;2019-08-07;Navarra2017;4831.2;1864.4;2619.8;747.9;543.7;227.0;-2;-2;3050.7;1178.1;1284.5;366.2;290.9;121.8;-2;-2
